network,State,Station_ID,Site_ID,Site_Name,Latitude,Longitude,Elevation_ft,Elevation_m
SNTL    ,NM,08P03S ,933,RICE PARK,35.23333,-108.26667,8460,2579
SNTL    ,CO,07J05S ,717,RIPPLE CREEK,40.10812,-107.29411,10340,3152
SNTL    ,CO,06J12S ,718,ROACH,40.87502,-106.04603,9700,2957
SNTL    ,OR,22F43S ,719,ROARING RIVER,43.90098,-122.03063,4950,1509
SNTL    ,NV,15J16S,1199,ROBINSON LAKE,40.7237,-115.2788,9200,2804
SNTL    ,UT,10J18S ,720,ROCK CREEK,40.54885,-110.69283,7889,2405
SNTL    ,OR,18F01S ,721,ROCK SPRINGS,44.00883,-118.83842,5290,1612
SNTL    ,MT,12C11S ,722,ROCKER PEAK,46.35618,-112.26177,8000,2438
SNTL    ,UT,12J06S ,723,ROCKY BASIN-SETTLEME,40.4425,-112.22398,8900,2713
SNTL    ,MT,09A01S ,917,ROCKY BOY,48.17478,-109.64728,4700,1433
SNTL    ,AK,63P01S ,973,ROCKY POINT,64.53482,-163.4214,250,76
SNTL    ,OR,20G19S ,1219,ROGGER MEADOW AM,42.17,-120.25,6360,1939
SNTL    ,CO,06K43S ,939,ROUGH AND TUMBLE,39.03333,-106.08333,10360,3158
SNTL    ,CA,20L02S ,724,RUBICON #2,38.9992,-120.13032,7689,2344
SNTL    ,MT,10C08S ,725,S FORK SHIELDS,46.08967,-110.4336,8100,2469
SNTL    ,MT,10D10S ,929,SACAJAWEA,45.87395,-110.92783,6550,1996
SNTL    ,OR,23D01S ,726,SADDLE MOUNTAIN,45.54477,-123.37315,3110,948
SNTL    ,MT,13D22S ,727,SADDLE MTN.,45.6926,-113.9682,7940,2420
SNTL    ,WY,07H06S ,1015,SAGE CREEK BASIN,41.401,-107.25717,7850,2393
SNTL    ,AK,48U01S ,1183,SAGWON,69.42417,-148.6925,1000,305
SNTL    ,CO,06L05S ,1100,SAINT ELMO,38.69978,-106.36801,10540,3213
SNTL    ,WA,19A02S ,728,SALMON MEADOWS,48.65518,-119.8383,4460,1359
SNTL    ,OR,22F04S ,729,SALT CREEK FALLS,43.61193,-122.11758,4220,1286
SNTL    ,WY,10G08S ,730,SALT RIVER SUMMIT,42.5075,-110.90995,7760,2365
SNTL    ,NM,06N15S ,1172,SAN ANTONIO SINK,36.8622,-106.22502,9100,2774
SNTL    ,WY,06H23S ,731,SAND LAKE,41.46257,-106.28107,10050,3063
SNTL    ,WY,07H03S ,732,SANDSTONE RS,41.11172,-107.1706,8150,2484
SNTL    ,NM,05P09S ,922,SANTA FE,35.76694,-105.78333,11445,3488
SNTL    ,OR,21E05S ,733,SANTIAM JCT.,44.43503,-121.94502,3740,1140
SNTL    ,CO,06L13S ,1128,SARGENTS MESA,38.28555,-106.37069,11530,3514
SNTL    ,WA,21B51S ,734,SASSE RIDGE,47.38485,-121.06323,4340,1323
SNTL    ,ID,14C04S ,735,SAVAGE PASS,46.46633,-114.63333,6170,1881
SNTL    ,WA,21B31S ,1068,SAWMILL RIDGE,47.15992,-121.42172,4640,1414
SNTL    ,OR,17D08S ,736,SCHNEIDER MEADOWS,45.00107,-117.16522,5400,1646
SNTL    ,CO,07K11S ,737,SCHOFIELD PASS,39.01522,-107.04877,10700,3261
SNTL    ,ID,13E16S ,915,SCHWARTZ LAKE,44.84618,-113.83732,8540,2603
SNTL    ,ID,16A10S ,738,SCHWEITZER BASIN,48.37428,-116.63917,6090,1856
SNTL    ,CO,08M08S ,739,SCOTCH CREEK,37.64556,-108.00786,9100,2774
SNTL    ,AK,47L01S ,1087,SEAL ISLAND,60.42668,-147.40334,20,6
SNTL    ,ID,15D01S ,740,SECESH SUMMIT,45.1885,-115.97305,6520,1987
SNTL    ,ID,11G30S ,741,SEDGWICK PEAK,42.52497,-111.95635,7850,2393
SNTL    ,UT,11K09S ,742,SEELEY CREEK,39.31042,-111.43297,9910,3021
SNTL    ,OR,23D02S ,743,SEINE CREEK,45.52688,-123.29857,2060,628
SNTL    ,NM,06P10S ,744,SENORITA DIVIDE #2,36.00198,-106.83348,8600,2621
SNTL    ,WA,18A21S ,1043,SENTINEL BUTTE,48.86133,-118.39843,4680,1426
SNTL    ,OR,22G33S ,745,SEVENMILE MARSH,42.69825,-122.14165,5700,1737
SNTL    ,NV,15H03S ,746,SEVENTYSIX CREEK,41.73732,-115.47215,7100,2164
SNTL    ,ID,15C04S ,747,SHANGHI SUMMIT,46.56611,-115.74194,4570,1393
SNTL    ,CO,08M04S ,1060,SHARKSTOOTH,37.50357,-108.11373,10720,3267
SNTL    ,WA,22C10S ,748,SHEEP CANYON,46.19325,-122.25393,3990,1216
SNTL    ,ID,11F11S ,749,SHEEP MTN.,43.20933,-111.68777,6570,2003
SNTL    ,NV,19H05S ,750,SHELDON,41.9045,-119.4436,5860,1786
SNTL    ,WY,07E23S ,751,SHELL CREEK,44.50008,-107.4294,9580,2920
SNTL    ,OR,20G10S,1220,SHERMAN VALLEY AM,42.35,-120.22,6630,2021
SNTL    ,ID,16C01S ,752,SHERWIN,46.95028,-116.33972,3200,975
SNTL    ,MT,11E39S ,753,SHORT CREEK,44.97572,-111.95215,7000,2134
SNTL    ,MT,10D16S ,754,SHOWER FALLS,45.40125,-110.95758,8100,2469
SNTL    ,NM,05N23S ,1169,SHUREE,36.78778,-105.23999,10100,3078
SNTL    ,NM,05R01S ,1034,SIERRA BLANCA,33.40472,-105.78722,10280,3133
SNTL    ,NM,08T01S ,755,SIGNAL PEAK,32.92401,-108.14538,8360,2548
SNTL    ,OR,21F12S ,756,SILVER CREEK,42.95615,-121.18123,5740,1750
SNTL    ,NM,08S08S ,757,SILVER CREEK DIVIDE,33.37106,-108.70618,9000,2743
SNTL    ,NV,14K07S ,1205,SILVER CREEK NV,39.2334,-114.2427,8000,2438
SNTL    ,OR,18G01S ,759,SILVIES,42.75333,-118.68785,6990,2131
SNTL    ,MT,13C03S ,760,SKALKAHO SUMMIT,46.24212,-113.7725,7250,2210
SNTL    ,WA,21B60S ,912,SKOOKUM CREEK,47.68433,-121.61007,3310,1009
